id,year,cattle_total,male_lt_6mo,male_6mo_lt_1yr,male_1yr_lt_3yrs,male_3yrs_lt_10yrs,male_gte_10yrs,female_lt_6mo,female_6mo_lt_1yr,female_1yr_lt_3yrs,female_3yrs_lt_10yrs,female_gte_10yrs,male_indigenous,male_hybrid,male_exotic,female_indigenous,female_hybrid,female_exotic,
47,2005,1488065,88417,67964,79714,109488,-1,88316,78918,177539,747639,48370,346891,-1,0,1136907,3876,0
48,2005,124734,4443,5868,12461,29345,-1,3043,4472,11367,52657,-1,52259,0,0,72359,0,-1
49,2005,811119,32255,41549,74522,168406,-1,35024,46885,88511,311559,8883,317485,-1,-1,487679,-1,-1
50,2005,481145,23079,18149,34649,103607,-1,23526,23475,49875,192639,8152,182616,-1,0,296515,-1,0
51,2005,83858,3358,6437,5887,16466,-1,4439,5856,7782,33225,-1,32147,0,-1,51670,0,0
52,2005,614605,34044,32431,43925,159024,-1,32902,30167,55155,220673,4900,270657,-1,0,343797,0,0
53,2005,939980,43768,42231,70757,187939,-1,39696,49564,98960,396890,8651,345180,-1,0,592523,-1,-1
73,2005,360961,21686,16035,26503,74044,-1,22593,16559,35186,146509,-1,138874,-1,0,221657,-1,0
55,2005,51196,1202,1498,3212,18372,553,1791,1125,3486,19515,443,24836,0,0,26360,0,0
56,2005,95735,4671,3683,7149,26656,-1,4573,2934,7329,38465,-1,42282,0,0,53453,0,0
57,2005,32528,1271,900,1612,13832,-1,1451,872,2441,9946,-1,17762,0,0,14767,0,0
58,2005,89426,3255,3342,7437,28425,-1,3771,3360,7085,31739,465,43006,0,0,46420,0,0
59,2005,74677,2678,2850,4846,29093,-1,3544,3359,6614,21367,-1,39668,0,0,35008,0,0
60,2005,300702,14789,14944,27832,53409,-1,14285,14347,36083,122523,1305,112160,0,0,188542,0,0
61,2005,25449,931,1048,2244,6081,-1,1354,1339,2674,9573,154,10355,0,0,15079,-1,0
63,2005,57628,2691,2772,4582,15474,-1,2469,2794,5784,20843,-1,25641,0,0,31987,0,0
74,2005,477158,17546,16448,34449,141995,2634,18436,18144,38908,183829,4770,213072,0,0,264086,0,0
64,2005,120893,6773,5031,6870,36109,396,7381,4322,8172,45577,262,55014,-1,0,65388,-1,0
65,2005,37395,2268,1907,3748,5523,-1,2574,1556,4329,15025,443,13388,-1,0,23741,-1,0
66,2005,37395,2268,1907,3748,5523,-1,2574,1556,4329,15025,443,13388,-1,0,23741,-1,0
67,2005,26266,620,787,1613,10695,1067,706,1004,1639,7888,246,14592,180,-1,10874,597,-1
9,2005,17906,468,540,1153,6553,599,491,737,1345,5833,186,9197,106,-1,8179,401,-1
68,2005,8360,152,246,460,4142,468,215,267,294,2055,-1,5395,74,0,2696,-1,0
69,2005,38439,2435,1776,4141,5333,0,2561,1512,4923,15425,335,13655,-1,0,24674,-1,-1
0,2006,43007315,2000422,1703598,2958882,11750323,746636,2155960,1887086,3680902,15478994,644513,19050789,97663,11408,23677091,151139,19225
1,2006,2922407,145743,85417,202899,871293,87788,164034,106197,234295,966318,58422,1387720,4413,1007,1523368,3874,2026
2,2006,828099,47316,26722,60135,211505,18062,50576,39746,76718,279933,17386,363197,-1,0,463786,-1,0
3,2006,642694,21337,15311,41787,231187,36326,25234,16946,44562,191876,18129,344624,-1,-1,295539,855,-1
4,2006,291253,15541,8438,22275,94740,5183,16961,7479,23726,93767,3143,143482,-1,-1,141108,2295,-1
5,2006,695426,31717,17563,48386,233485,22092,36119,19489,51924,225149,9503,352383,-1,0,342033,-1,0
6,2006,464935,29832,17384,30316,100376,6126,35145,22537,37365,175594,10261,184034,0,0,280901,0,0
7,2006,447980,21480,13181,20128,30410,815,39967,31723,59598,227848,2829,86015,0,0,361929,-1,0
8,2006,140590,5115,3960,4321,7006,81,12277,10327,20674,75113,1715,20483,0,0,120107,0,0
9,2006,307390,16366,9221,15807,23404,734,27690,21396,38923,152735,-1,65532,0,0,241822,-1,0
10,2006,10483052,400300,325362,725006,3536134,364436,425244,329715,786611,3388032,202213,5327128,22150,-1,5100634,27236,3944
11,2006,1860538,81396,60800,146434,535072,42087,78824,67210,159261,652872,36582,863991,-1,-1,991760,-1,-1
12,2006,1233628,43794,37308,85415,406785,64950,43891,37388,93529,388559,32011,636537,-1,-1,593403,-1,-1
13,2006,836697,40320,26578,48874,292484,9774,43082,30806,54896,283689,6195,418030,0,0,418667,0,0
14,2006,1406326,64282,43340,93981,503138,16269,67830,43836,112909,448721,12019,718904,-1,0,683470,-1,-1
15,2006,1157897,28470,40223,85096,468405,47212,33812,33109,86075,313732,21764,653280,16126,0,470355,18137,0
16,2006,1278778,38434,39380,80349,449936,83205,43569,31043,87854,392272,32737,690030,-1,0,582113,-1,-1
17,2006,1496207,47365,46046,99109,522447,75265,56520,46135,94409,472927,35984,789659,-1,0,705975,0,0
18,2006,248414,13168,5573,15586,78804,10036,12977,4753,17751,84348,5419,123166,0,0,125248,0,0
19,2006,675775,28897,18606,50157,195017,13380,27871,24703,53540,247608,15997,305539,-1,-1,368844,0,-1
20,2006,288792,14175,7508,20006,84047,2257,16870,10731,26387,103305,3506,127993,0,0,160799,0,0
21,2006,19663215,938348,866632,1404166,5411516,258952,987907,959174,1675956,6906849,253715,8810704,60913,7997,10682677,89356,11568
22,2006,802340,28556,43309,55317,230265,5685,32426,49354,62441,288959,6028,363132,0,0,439207,0,0
72,2006,976935,37889,56763,65898,277577,17554,39738,59539,80547,331286,10144,455681,0,0,521254,0,0
24,2006,813639,37580,40904,60592,239045,5348,31020,43851,66756,282295,6247,383027,0,-1,429329,-1,-1
25,2006,2016403,87100,88764,167666,598159,-1,85799,87358,186340,707496,6031,943378,0,0,1073025,0,0
26,2006,1767482,74694,77623,130964,540989,35687,81493,77580,149236,561205,38011,856370,-1,0,903467,-1,-1
15,2006,1372809,48382,56243,92296,420020,30975,56420,74314,113247,457838,23074,625161,20853,1902,686647,32909,5337
27,2006,1088336,45436,41844,70531,364799,52177,48104,45116,75796,324640,19893,571234,3029,-1,508959,-1,-1
28,2006,2077475,109963,72926,150590,662509,28982,117268,74689,168261,665645,26642,1003926,16901,4141,1018672,31566,-1
29,2006,949305,63864,42629,69579,253327,-1,58347,43102,87930,320680,7777,431231,-1,0,517597,-1,0
30,2006,958600,66579,45891,103903,165075,-1,60053,45014,102785,355856,13075,381092,-1,0,575718,-1,-1
31,2006,1268550,61898,50007,82933,377542,16016,74550,57677,91896,432259,23771,586241,-1,-1,679575,-1,0
32,2006,1176620,52155,54358,73043,229920,-1,71241,74372,99088,514340,6315,411264,0,0,765356,0,0
33,2006,795293,21019,29333,55097,274739,27740,26133,36937,61781,249077,13437,407631,0,-1,386476,-1,-1
34,2006,1034030,63358,53562,60188,190406,4732,60336,63942,105978,419816,11711,372247,0,0,661783,0,0
75,2006,332649,12547,18199,25098,106251,2871,11383,19198,31693,103758,1651,164859,0,-1,167465,0,-1
76,2006,624014,17680,28531,42107,180848,20751,21667,32983,45294,218201,15950,289845,-1,0,334096,0,0
77,2006,1608737,109648,65745,98366,300044,4519,111929,74147,146886,673498,23955,564384,13609,-1,1014051,15536,-1
35,2006,608206,45076,28614,35878,86563,-1,54614,33205,57765,261141,4455,197027,0,0,411164,-1,0
36,2006,18783,1459,1005,1667,2887,-1,1236,1242,1745,7306,224,7030,0,0,11737,-1,0
37,2006,388642,32725,17884,22029,62666,-1,38832,20171,32791,159489,-1,136064,0,0,252578,0,0
38,2006,200782,10892,9725,12181,21009,-1,14546,11792,23229,94346,2937,53933,0,0,146849,0,0
39,2006,322663,12956,16599,23354,89482,3853,15584,17565,29804,109477,3990,146244,0,0,176419,0,0
40,2006,206669,8760,10631,14846,56100,3334,10146,11161,20612,67750,3329,93671,0,0,112998,0,0
41,2006,64811,2592,3544,4907,17889,0,3760,3324,5099,23474,-1,28932,0,0,35879,0,0
42,2006,51183,1604,2423,3602,15493,-1,1678,3081,4093,18253,-1,23641,0,0,27542,0,0
43,2006,8454113,430443,363414,537504,1703911,28088,462724,404711,826092,3579548,117678,3053039,9933,-1,5359660,29607,-1
44,2006,907571,47770,47942,52751,115228,2629,45639,45948,94771,426523,28370,266070,-1,0,640752,-1,0
45,2006,624405,27154,25152,41373,168553,5605,29112,23346,48808,245703,9601,267076,-1,0,353839,-1,0
46,2006,278910,13781,7801,18851,57117,1797,13349,11073,26865,122006,6270,94013,5227,-1,159612,18464,-1
47,2006,1437562,91989,60353,65871,110697,-1,93350,69975,160239,750439,31787,331773,0,0,1104570,-1,0
48,2006,121008,2401,6115,11902,32905,-1,2818,4863,12805,46838,-1,53404,0,0,67604,0,0
49,2006,808211,43295,37256,61251,179352,-1,48863,33274,73051,319301,10558,321740,-1,-1,482300,2747,0
50,2006,891963,39715,39824,62694,182365,-1,47173,48094,90342,372381,6094,327359,-1,0,562923,-1,0
51,2006,78496,3873,5478,6982,14556,-1,3909,4811,7238,31008,561,30969,0,0,47527,0,0
52,2006,622818,37325,27299,43778,157990,-1,36216,34376,61101,219167,3986,267512,-1,0,354385,-1,0
53,2006,914983,35989,38469,71807,196985,-1,48099,49703,101377,363548,7422,343343,-1,0,568441,1707,0
73,2006,419501,23107,18217,20462,90603,-1,28752,24352,44506,165605,3462,152824,0,0,266677,0,0
55,2006,49384,1309,1436,2759,18801,303,1417,1258,3875,18078,149,24608,0,0,24776,0,0
56,2006,103266,5091,2966,5888,29401,-1,4735,3483,8191,42340,-1,43476,0,0,59789,0,0
57,2006,41363,1425,1199,2102,17704,-1,1798,1329,3112,12343,112,22667,0,0,18695,0,0
58,2006,98495,3838,3157,6464,34512,690,3619,3591,6172,36324,-1,48662,0,0,49833,0,0
59,2006,77966,2497,2551,4196,32210,-1,3594,4140,5258,23183,-1,41663,0,0,36303,0,0
60,2006,313094,16326,14570,21838,68118,-1,13462,13604,32503,131885,702,120939,0,0,192156,0,0
61,2006,26215,1218,1281,1986,6541,0,1315,1337,2918,9568,-1,11026,0,0,15189,0,0
63,2006,61250,2684,2764,3837,17208,-1,3071,3137,5792,22575,152,26494,-1,0,34727,0,0
