flag,year,cattle_total,male_lt_6mo,male_6mo_lt_1yr,male_1yr_lt_3yrs,male_3yrs_lt_10yrs,male_gte_10yrs,female_lt_6mo,female_6mo_lt_1yr,female_1yr_lt_3yrs,female_3yrs_lt_10yrs,female_gte_10yrs,male_indigenous,male_hybrid,male_exotic,female_indigenous,female_hybrid,female_exotic,region,
AF,2003,385805,23915,10968,15617,26152,793,46440,28301,52105,173386,8130,77443,0,0,308361,0,-1,0
AF,2004,327373,21730,10857,10296,20555,1085,42407,25758,32884,157791,4010,64506,-1,0,262753,-1,0,0
AF,2005,317108,16041,13008,13978,26990,1579,27369,24780,33779,156106,3477,71596,0,0,245512,0,0,0
AF,2006,447980,21480,13181,20128,30410,815,39967,31723,59598,227848,2829,86015,0,0,361929,-1,0,0
AF,2007,401167,22188,18805,17561,33236,442,38550,32814,42330,193637,1604,92232,0,0,308935,0,0,0
AF,2008,473270,28253,17177,17802,31729,1132,44128,38537,60131,223825,10556,96093,0,0,377023,-1,0,0
AF,2009,550361,27081,20414,19540,38221,2101,43665,39186,60452,289528,10174,107045,-1,0,442520,-1,-1,0
AF,2010,899078,41740,32563,32541,76552,1769,72789,62235,106830,453549,-1,185084,-1,0,713912,0,0,0
AF,2011,910797,53163,34056,38459,74201,-1,86542,67706,107100,443123,5119,200631,-1,-1,707872,-1,-1,0
AF,2012,1190166,67211,39272,49694,103588,-1,105573,81948,149324,585432,6317,261403,-1,0,927160,-1,0,0
AF,2013,1359908,86694,56382,47930,106333,3370,127495,93660,145007,676247,16790,300709,0,0,1058605,-1,0,0
AF,2014,1580313,72300,59487,74548,109005,-1,128378,120302,187042,805549,18928,320115,0,0,1258904,-1,-1,0
AF,2015,1495054,77566,56047,61666,118632,3555,123256,120084,163120,753935,17192,317331,-1,0,1177452,-1,0,0
AF,2016,1315917,64281,61258,36222,96703,5925,118108,118145,116743,665915,-1,264116,-1,0,1050048,-1,-1,0
AF,2017,1317139,78992,78118,38210,83520,-1,99402,111396,132714,665551,-1,281007,0,0,1035446,-1,0,0
AF,2018,1791565,132214,59607,67750,118897,-1,203876,109378,118217,975044,3334,381716,0,0,1409849,0,0,0
AF,2019,1952394,140584,81040,83980,164356,9691,190475,125176,176812,929394,50886,479651,0,0,1472479,0,-1,0
AF,2020,1959185,133286,80263,74233,147544,3334,190903,134940,227703,955074,11904,438546,0,-1,1520183,0,-1,0
AM,2003,9592252,403140,325904,697799,3177522,298353,424514,340643,774999,2931923,217453,4876887,25342,-1,4654381,32349,-1,0
AM,2004,9694803,340472,274754,727612,3300892,333256,355148,279203,765054,3092686,225726,4969891,6033,-1,4698598,17318,-1,0
AM,2005,10077301,395746,280626,689129,3511962,310105,420559,307408,759769,3204574,197424,5163958,22692,-1,4862020,25513,-1,0
AM,2006,10483052,400300,325362,725006,3536134,364436,425244,329715,786611,3388032,202213,5327128,22150,-1,5100634,27236,3944,0
AM,2007,11757295,445297,397612,862832,3906997,387028,496122,406450,916787,3695434,242736,5984611,12529,-1,5719364,35158,3008,0
AM,2008,12748995,466750,400581,918785,4405574,338083,510387,434217,1006688,4067588,200342,6500619,26365,-1,6177784,38573,-1,0
