id,year,sheep_total,male_lt_6mo,male_6mo_lt_1yr,male_1yr_lt_2yrs,male_gte_2yrs,female_lt_6mo,female_6mo_lt_1yr,female_1yr_lt_2yrs,female_gte_2yrs,male_indigenous,male_hybrid,male_exotic,female_indigenous,female_hybrid,female_exotic,
0,2003,16575493,2138852,726512,495247,755868,2281451,1147189,1294073,7736302,4111273,-1,-1,12443625,1444,13946
1,2003,652521,81451,24771,21345,29377,85100,40011,62702,307764,156655,-1,-1,494904,-1,-1
2,2003,47869,7581,1467,1413,2690,6313,1595,4258,22552,13151,0,0,34718,0,-1
3,2003,137969,20133,3649,5897,3303,18123,5512,13877,67476,32982,0,0,104988,0,-1
4,2003,309223,36154,11283,6367,14214,35644,22195,25892,157475,67889,-1,0,240932,-1,-1
5,2003,128557,13593,6435,6781,7246,20693,9333,15651,48824,34055,0,0,94501,0,-1
6,2003,28903,-1,-1,-1,-1,4327,1377,3024,11437,8579,0,-1,19765,0,-1
7,2003,238667,19160,11344,7160,16296,33761,24883,28822,97240,53960,0,0,184707,0,-1
8,2003,67581,6082,2396,1883,3404,9477,6794,8830,28715,13765,0,0,53816,0,-1
9,2003,171086,13078,8948,5277,12892,24284,18090,19992,68525,40195,0,0,130891,0,-1
10,2003,6116336,739396,221823,178720,328139,811015,384856,410925,3041463,1463761,0,-1,4639633,-1,-1
11,2003,487561,69896,14114,9878,15436,65428,40251,25876,246683,109325,0,0,378237,0,-1
12,2003,496970,67747,17766,12591,7748,66968,32886,22188,269076,105852,0,0,391118,0,-1
13,2003,638067,69399,16977,18717,43052,86321,39318,43915,320367,148146,0,0,489921,0,-1
14,2003,1661367,187080,61355,58889,125810,205039,82458,110328,830409,429138,0,-1,1221776,0,-1
15,2003,1155696,142365,53040,36419,88396,159193,73150,59218,543916,319900,0,-1,833967,0,-1
16,2003,854352,99924,21666,16531,19248,119618,64835,89868,422661,157369,0,0,696682,-1,-1
17,2003,453949,53046,25130,17269,16800,54083,31423,29938,226260,112245,0,0,341347,0,-1
