flag,year,cattle_afflicted,cattle_treated,cattle_death_disease,cattle_death_other,cattle_vac_total,cattle_vac_anthrax,cattle_vac_blackleg,cattle_vac_pleuro_pneumonia,cattle_vac_hemorrhagic_septicemia,cattle_vac_rinderpest,cattle_vac_other,total_deaths,male_deaths,female_deaths,region,
BE,2020,271771,241865,35537,12429,267312,-1,156989,102561,-1,0,0,47966,20824,27141,0
DD,2003,8477,1263,0,0,16428,0,0,0,0,0,0,6950,0,0,0
DD,2004,5964,1362,4586,1544,10511,0,0,0,0,0,0,0,0,0,0
DD,2005,5279,1315,4321,1558,10608,-1,-1,-1,-1,0,-1,5879,1562,4317,0
DD,2006,4387,1187,2267,694,17071,7431,3820,0,5632,-1,0,2961,978,1983,0
DD,2007,4310,1177,2355,594,16894,3125,8709,1700,2675,-1,-1,2949,1126,1824,0
DD,2008,6724,971,3626,1199,11512,-1,6514,-1,-1,0,-1,4825,1449,3377,0
DD,2009,8498,1634,5334,1135,21005,5286,4493,-1,5325,-1,-1,6470,2006,4464,0
DD,2010,3890,940,2140,1068,10093,0,9617,0,-1,0,-1,3208,948,2260,0
DD,2011,4894,1665,2376,480,25792,25623,-1,-1,0,0,0,2856,863,1993,0
DD,2012,7011,2906,3569,557,18033,9598,2563,-1,4997,0,-1,4126,1491,2635,0
DD,2013,4910,2537,2067,733,21178,5740,6110,3026,6272,0,-1,2800,897,1902,0
DD,2014,4500,2432,1816,351,25367,8941,9833,-1,6256,0,0,2167,866,1301,0
DD,2015,7382,4133,3531,738,37719,20524,6883,-1,8073,0,-1,4525,1440,3085,0
DD,2016,11983,4920,7052,1704,22266,6996,8094,-1,5312,0,-1,8756,2759,5997,0
DD,2017,5552,1214,4154,-1,10353,-1,-1,-1,1801,0,-1,4800,1575,3225,0
DD,2018,7236,4927,3506,483,4866,-1,-1,0,3753,0,-1,3989,1335,2654,0
DD,2019,5094,2630,2344,1086,7978,-1,-1,-1,-1,0,-1,3430,1228,2202,0
DD,2020,6172,2240,3888,1427,-1,-1,0,-1,-1,0,0,5315,1497,3818,0
GA,2007,35341,8155,16630,3813,6703,-1,-1,-1,1855,0,1423,20443,6866,13577,0
GA,2008,23011,4615,13941,2381,9195,1177,-1,6419,-1,0,1140,16322,5978,10344,0
GA,2009,22861,8693,10290,1538,13132,6005,555,3306,-1,0,-1,11829,5386,6443,0
GA,2010,29862,6829,20004,10988,38460,-1,-1,20863,-1,0,7048,30992,10062,20930,0
GA,2011,31710,14286,15229,2436,87028,3823,-1,16581,58771,0,7505,17665,5068,12597,0
GA,2012,47052,9261,21845,11100,17129,-1,-1,-1,7233,0,-1,32946,11891,21054,0
GA,2013,54736,18894,27980,12867,4421,1242,-1,-1,-1,0,0,40848,14508,26340,0
GA,2014,55704,12431,35090,8530,27325,1242,-1,-1,-1,0,-1,43621,16297,27324,0
GA,2015,48670,16319,38136,5674,12793,-1,-1,-1,0,0,-1,43810,17148,26662,0
GA,2016,60626,21207,32681,35751,121961,-1,-1,23217,2694,0,51669,68432,22441,45990,0
GA,2017,58220,19864,26791,15260,35901,-1,-1,-1,5665,0,9096,42050,14379,27671,0
GA,2018,39518,11049,26816,8186,10584,-1,2032,-1,3406,0,2723,35002,10511,24491,0
GA,2019,36932,-1,28264,6920,-1,-1,-1,-1,0,0,-1,35184,14304,20880,0
GA,2020,27265,14681,13918,-1,22546,3093,-1,-1,-1,0,0,21860,7264,14596,0
HA,2003,6203,2134,0,0,2402,0,0,0,0,0,0,3081,0,0,0
HA,2004,5508,1655,2462,318,1636,0,0,0,0,0,0,0,0,0,0
HA,2005,6618,2328,2301,428,9166,-1,5367,-1,-1,0,-1,2729,985,1744,0
HA,2006,6665,2298,2641,539,-1,-1,-1,-1,-1,0,-1,3180,1381,1798,0
HA,2007,4376,2032,1888,417,2958,-1,-1,-1,-1,0,-1,2305,787,1517,0
HA,2008,8143,2293,4855,240,6211,5098,-1,-1,-1,-1,-1,5095,1897,3198,0
HA,2009,4434,1515,1985,325,7475,3085,-1,-1,-1,0,-1,2310,800,1511,0
HA,2010,4942,2526,2076,593,20024,4525,4651,0,7120,0,3729,2670,1007,1662,0
HA,2011,11985,3852,7703,1727,14982,9695,-1,0,-1,0,-1,9430,2800,6630,0
HA,2012,5495,2004,3003,521,4881,2832,0,0,-1,0,-1,3524,1522,2002,0
