id,year,total_poultry,total_cocks,total_cockerels,total_pullets,total_nonlaying_hens,total_chicks,total_laying_hens,total_poultry_indigenous,total_cocks_indigenous,total_cockerels_indigenous,total_pullets_indigenous,total_nonlaying_hens_indigenous,total_chicks_indigenous,total_laying_hens_indigenous,total_poultry_hybrid,total_cocks_hybrid,total_cockerels_hybrid,total_pullets_hybrid,total_nonlaying_hens_hybrid,total_chicks_hybrid,total_laying_hens_hybrid,total_poultry_exotic,total_cocks_exotic,total_cockerels_exotic,total_pullets_exotic,total_nonlaying_hens_exotic,total_chicks_exotic,total_laying_hens_exotic,
84,2012,48859,4570,1591,3308,1408,21439,16543,47930,4460,1591,3251,1378,21190,16060,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1
85,2012,34667,4984,4708,4436,-1,13152,7272,34667,4984,4708,4436,-1,13152,7272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2012,50589,5635,4830,6600,1392,14413,17719,50028,5528,4764,6463,1392,14413,17468,526,0,0,0,0,0,-1,0,-1,-1,-1,0,0,-1
66,2012,50589,5635,4830,6600,1392,14413,17719,50028,5528,4764,6463,1392,14413,17468,526,0,0,0,0,0,-1,0,-1,-1,-1,0,0,-1
69,2012,83706,8519,3966,9044,2518,19639,40020,73421,7588,3654,8365,2255,17724,33835,6343,782,312,628,-1,1915,2707,3941,149,0,0,0,0,3478
0,2013,51350738,5260659,2716252,5046372,1547799,19668096,17111560,49723605,5074441,2644079,4859337,1489807,19236420,16419521,1215324,131636,57954,129647,42816,354083,499186,411809,54582,14218,57388,15175,77593,192853
1,2013,5287790,489610,396111,679603,250219,1907218,1565029,4717722,419718,370460,610331,220567,1718472,1378174,371171,42119,21874,45866,0,127879,111279,198897,27773,3777,23406,7498,60866,75577
2,2013,1656863,133915,173062,229176,79854,633817,407039,1572282,124309,169249,216343,77484,604185,380712,75615,7829,0,12543,-1,29314,20342,0,0,-1,0,-1,0,0
3,2013,1377514,134981,73039,165810,64861,511581,427241,1172872,109912,66570,141314,58227,447005,349844,143721,15127,6469,17981,4170,48563,51410,60921,9941,0,0,2464,0,25988
4,2013,856314,85400,50755,98646,37829,260779,322905,697950,68446,42322,82896,31431,193235,279620,78820,11913,5879,6675,3788,30294,20271,79544,5041,0,9075,0,0,23015
